A	B	Score
GAB2	A1BG	900
GRB2	A1BG	900
PIK3CA	A1BG	900
PIK3R1	A1BG	900
PTPN11	A1BG	904
APOBEC3A	A1CF	904
APOBEC3H	A1CF	900
MMP12	A2M	900
MMP9	A2M	900
ALYREF	AAAS	902
CASC3	AAAS	900
KPNB1	AAAS	900
MAGOH	AAAS	914
MAGOHB	AAAS	914
NCBP1	AAAS	902
NCBP2	AAAS	900
NDC1	AAAS	911
NPM1	AAAS	900
NUP107	AAAS	950
NUP133	AAAS	908
NUP153	AAAS	907
NUP155	AAAS	948
NUP160	AAAS	914
NUP188	AAAS	902
NUP205	AAAS	930
NUP210	AAAS	909
NUP214	AAAS	919
NUP35	AAAS	908
NUP37	AAAS	938
NUP42	AAAS	909
NUP43	AAAS	955
NUP50	AAAS	909
NUP54	AAAS	924
NUP62	AAAS	934
NUP85	AAAS	916
NUP88	AAAS	919
NUP93	AAAS	919
NXF1	AAAS	901
NXT1	AAAS	902
POLDIP3	AAAS	902
POM121	AAAS	901
POM121C	AAAS	901
RAE1	AAAS	910
RANBP2	AAAS	909
RANGAP1	AAAS	921
RBM8A	AAAS	902
RNPS1	AAAS	902
SRRM1	AAAS	902
SUMO1	AAAS	902
TPR	AAAS	902
UBE2I	AAAS	902
UPF3B	AAAS	900
AGFG1	AAK1	908
AGTR1	AAK1	900
AP2B1	AAK1	938
ARPC4	AAK1	901
ARRB1	AAK1	902
ARRB2	AAK1	902
CD3G	AAK1	900
CHRM2	AAK1	900
CLTC	AAK1	924
CLTCL1	AAK1	924
EPN1	AAK1	920
EPS15L1	AAK1	932
FCHO1	AAK1	928
FCHO2	AAK1	928
FNBP1	AAK1	909
FZD4	AAK1	902
HSPA8	AAK1	904
LDLR	AAK1	902
NECAP2	AAK1	932
PACSIN1	AAK1	902
PACSIN3	AAK1	902
RAB5C	AAK1	902
REPS1	AAK1	963
SNAP91	AAK1	927
STON2	AAK1	902
SYNJ1	AAK1	917
UBA52	AAK1	905
UBC	AAK1	904
AARS1	AARS2	811
ABCD4	ABCA2	905
ATP1A4	ABCA2	901
ABCA2	ABCB6	905
ABCD4	ABCB6	905
ABCG8	ABCB6	905
ATP1A4	ABCB6	900
KCNJ11	ABCC8	913
KCNJ11	ABCC9	947
ABCD2	ABCD1	910
ABCD3	ABCD1	950
PEX19	ABCD1	923
ABCD3	ABCD2	946
PEX19	ABCD2	923
ATP1A4	ABCD4	900
RNASEL	ABCE1	901
DHX9	ABCF1	904
EIF2S2	ABCF1	943
RPL10A	ABCF1	909
RPL11	ABCF1	905
RPL18	ABCF1	905
RPL24	ABCF1	903
RPL30	ABCF1	905
RPL31	ABCF1	902
RPL32	ABCF1	904
RPL36	ABCF1	900
RPL36A	ABCF1	900
RPL39	ABCF1	905
RPL41	ABCF1	900
RPL6	ABCF1	902
RPS21	ABCF1	904
RPS26	ABCF1	902
RPS28	ABCF1	916
RPS29	ABCF1	903
ABCA2	ABCG8	900
ABCD4	ABCG8	905
ATP1A4	ABCG8	901
ACTG1	ABI1	909
ACTR2	ABI1	923
ARPC1B	ABI1	902
ARPC4	ABI1	913
BRK1	ABI1	937
CYFIP1	ABI1	939
ITGA4	ABI1	900
ITGB1	ABI1	900
WASF1	ABI1	927
WASF2	ABI1	927
ABI1	ABI2	900
ACTG1	ABI2	909
ACTR2	ABI2	923
ARPC1B	ABI2	902
ARPC4	ABI2	909
BAIAP2	ABI2	902
BRK1	ABI2	937
CYFIP1	ABI2	939
NCKAP1	ABI2	950
RAC1	ABI2	912
WASF1	ABI2	927
WASF2	ABI2	927
WASF3	ABI2	927
ABL2	ABL1	806
CAP1	ABL1	925
CDC42	ABL1	923
CDH4	ABL1	901
CDK5	ABL1	909
CDON	ABL1	915
CLASP2	ABL1	900
CTNNA2	ABL1	901
GRB2	ABL1	908
HDAC1	ABL1	903
NTRK1	ABL1	900
ROBO1	ABL1	929
SLIT2	ABL1	915
TFDP1	ABL1	900
WASF2	ABL2	900
ABLIM2	ABLIM1	803
ABLIM3	ABLIM1	804
DCC	ABLIM1	924
DOCK1	ABLIM1	900
NCK1	ABLIM1	900
PTK2	ABLIM1	900
RAC1	ABLIM1	910
SRC	ABLIM1	900
TRIO	ABLIM1	900
ABLIM3	ABLIM2	804
NCK1	ABLIM2	900
BRCA1	ABRAXAS1	905
CHEK2	ABRAXAS1	902
H2AX	ABRAXAS1	900
H2BC11	ABRAXAS1	900
H2BC14	ABRAXAS1	900
H2BC15	ABRAXAS1	900
H2BC17	ABRAXAS1	900
H2BC3	ABRAXAS1	900
H2BC9	ABRAXAS1	900
H2BS1	ABRAXAS1	900
NSD2	ABRAXAS1	901
SUMO1	ABRAXAS1	902
SUMO2	ABRAXAS1	900
TP53BP1	ABRAXAS1	902
UBE2V2	ABRAXAS1	906
BABAM1	ABRAXAS2	902
BABAM2	ABRAXAS2	913
BRCC3	ABRAXAS2	904
NLRP3	ABRAXAS2	900
SHMT2	ABRAXAS2	903
PEX12	ACAA1	905
PEX14	ACAA1	950
PEX2	ACAA1	906
ACAA1	ACAA2	843
HADHB	ACAA2	898
ACACA	ACACB	801
MT-ND1	ACAD9	900
MT-ND2	ACAD9	902
MT-ND3	ACAD9	907
MT-ND4	ACAD9	900
MT-ND5	ACAD9	902
MT-ND6	ACAD9	900
NDUFA1	ACAD9	901
NDUFA11	ACAD9	902
NDUFA12	ACAD9	952
NDUFA13	ACAD9	900
NDUFA3	ACAD9	903
NDUFA5	ACAD9	956
NDUFA6	ACAD9	931
NDUFA8	ACAD9	902
NDUFAB1	ACAD9	918
NDUFAF3	ACAD9	914
NDUFAF4	ACAD9	909
NDUFAF5	ACAD9	948
NDUFAF6	ACAD9	919
NDUFB1	ACAD9	900
NDUFB2	ACAD9	901
NDUFB6	ACAD9	902
NDUFC1	ACAD9	902
NDUFS1	ACAD9	907
NDUFS2	ACAD9	912
NDUFS5	ACAD9	901
NDUFS8	ACAD9	908
NDUFV1	ACAD9	907
NDUFV2	ACAD9	909
NDUFV3	ACAD9	905
TIMMDC1	ACAD9	904
TMEM126B	ACAD9	911
ACADM	ACADL	887
ACADS	ACADL	821
ACADSB	ACADL	821
ACADVL	ACADL	824
ACOX1	ACADL	826
ACOX3	ACADL	818
MECR	ACADL	809
ACADVL	ACADM	827
IVD	ACADM	815
ACADM	ACADS	833
ACADSB	ACADS	804
ACOX1	ACADS	847
ACOX3	ACADS	852
MECR	ACADS	814
ACADM	ACADSB	833
TNXB	ACAN	900
ARF6	ACAP1	907
CLTC	ACAP1	909
GULP1	ACAP1	903
SLC2A4	ACAP1	900
ACAT2	ACAT1	805
GOLGB1	ACBD3	902
H2AB1	ACD	900
H2BC15	ACD	900
MME	ACE2	814
ACER2	ACER1	803
ASAH1	ACER1	826
ASAH2	ACER1	842
ASAH1	ACER2	810
ASAH2	ACER2	849
RNPS1	ACIN1	905
SAP18	ACIN1	945
CXCL12	ACKR3	910
GNAI1	ACKR3	914
GNAI2	ACKR3	914
GNAI3	ACKR3	914
GNAT3	ACKR3	914
GNB1	ACKR3	915
GNB2	ACKR3	915
GNG10	ACKR3	912
GNG12	ACKR3	912
GNG2	ACKR3	912
GNG3	ACKR3	912
GNG4	ACKR3	912
GNG5	ACKR3	912
GNG7	ACKR3	912
GNG8	ACKR3	912
GNGT2	ACKR3	912
CCL19	ACKR4	900
CCL21	ACKR4	901
CCL25	ACKR4	900
CS	ACLY	885
ACO1	ACO2	860
ACOT4	ACOT1	814
ACOT7	ACOT1	808
FBP1	ACOT1	804
FBP2	ACOT1	800
PFKM	ACOT1	804
PFKP	ACOT1	804
ACOT1	ACOT2	800
ACOT4	ACOT2	814
ACOT7	ACOT2	808
FBP1	ACOT2	804
FBP2	ACOT2	800
PEX10	ACOT2	900
PEX12	ACOT2	900
PEX13	ACOT2	911
PEX14	ACOT2	900
PEX2	ACOT2	900
PFKL	ACOT2	804
PFKM	ACOT2	804
PFKP	ACOT2	804
ACOT7	ACOT4	815
FBP1	ACOT4	804
FBP2	ACOT4	800
PEX12	ACOT4	900
PEX14	ACOT4	900
PEX2	ACOT4	900
PFKM	ACOT4	804
PFKP	ACOT4	804
PEX10	ACOT8	941
PEX12	ACOT8	921
PEX13	ACOT8	949
PEX14	ACOT8	902
PEX2	ACOT8	912
SLC27A5	ACOT8	805
ACADM	ACOX1	867
ACADSB	ACOX1	847
ACADVL	ACOX1	828
ACOX2	ACOX1	811
ACOX3	ACOX1	859
PEX12	ACOX1	913
PEX13	ACOX1	938
PEX14	ACOX1	915
PEX2	ACOX1	919
ACOX3	ACOX2	859
PEX12	ACOX2	913
PEX14	ACOX2	915
PEX2	ACOX2	919
ACADM	ACOX3	820
ACADSB	ACOX3	848
ACADVL	ACOX3	834
PEX12	ACOX3	903
PEX14	ACOX3	902
PEX2	ACOX3	904
EFNA1	ACP1	900
EPHA2	ACP1	900
ACP5	ACP2	807
RFK	ACP2	804
ACSS3	ACSS1	921
ACSS1	ACSS2	824
ACSS3	ACSS2	838
ACTN1	ACTA1	918
ACTN2	ACTA1	918
ACTN3	ACTA1	918
AGRN	ACTA1	900
ARHGEF7	ACTA1	900
BCAR1	ACTA1	900
CAPN1	ACTA1	900
CTTN	ACTA1	908
DAG1	ACTA1	900
EZR	ACTA1	908
GSN	ACTA1	908
ITGB1	ACTA1	910
LAMA1	ACTA1	900
LAMA2	ACTA1	900
LAMB2	ACTA1	900
LAMB3	ACTA1	900
NOLC1	ACTA1	900
PAK4	ACTA1	905
PAK5	ACTA1	905
SPTAN1	ACTA1	905
SRC	ACTA1	904
UTRN	ACTA1	915
MYH6	ACTC1	859
MYH7	ACTC1	859
MYL3	ACTC1	830
MYL4	ACTC1	830
TNNI3	ACTC1	845
TPM1	ACTC1	897
TPM3	ACTC1	885
CYFIP1	ACTG1	907
DPF3	ACTG1	802
SRGAP2	ACTG1	904
WASF2	ACTG1	934
MYL12B	ACTG2	926
MYL6	ACTG2	915
MYL6B	ACTG2	915
ACTG1	ACTL6A	865
ANP32E	ACTL6A	905
CBFB	ACTL6A	902
DPF3	ACTL6A	804
INO80E	ACTL6A	902
KAT8	ACTL6A	927
MSL1	ACTL6A	902
MYC	ACTL6A	900
NFRKB	ACTL6A	900
RUVBL2	ACTL6A	935
RXRA	ACTL6A	900
VDR	ACTL6A	900
ACTG1	ACTL6B	865
ACTL6A	ACTL6B	802
ARID1A	ACTL6B	824
ARID1B	ACTL6B	824
ARID2	ACTL6B	899
BRD7	ACTL6B	847
CBFB	ACTL6B	902
DPF3	ACTL6B	804
PBRM1	ACTL6B	883
PHF10	ACTL6B	847
PRMT5	ACTL6B	903
RUNX1	ACTL6B	901
SMARCA2	ACTL6B	968
SMARCA4	ACTL6B	968
SMARCB1	ACTL6B	971
SMARCC1	ACTL6B	940
SMARCC2	ACTL6B	940
SMARCD1	ACTL6B	870
SMARCD2	ACTL6B	870
SMARCD3	ACTL6B	870
SMARCE1	ACTL6B	878
WDR77	ACTL6B	904
ACTG1	ACTN1	909
ACTN2	ACTN1	900
ACTN3	ACTN1	900
BCAR1	ACTN1	901
CAPN1	ACTN1	900
CTNNA2	ACTN1	870
CTNNA3	ACTN1	870
ILK	ACTN1	906
ITGB1	ACTN1	922
LIMS1	ACTN1	908
LMO7	ACTN1	830
NOLC1	ACTN1	900
PARVB	ACTN1	919
GRIN2B	ACTN2	915
MYH3	ACTN2	915
NEB	ACTN2	917
NEFL	ACTN2	901
TNNT1	ACTN2	919
TTN	ACTN2	930
VIM	ACTN2	902
ACTN2	ACTN3	905
CAPN1	ACTN3	900
MYBPC3	ACTN3	911
MYH3	ACTN3	915
NEB	ACTN3	917
TNNT1	ACTN3	919
TTN	ACTN3	930
VIM	ACTN3	902
ACTA1	ACTN4	918
ACTG1	ACTN4	870
ACTN1	ACTN4	979
ACTN2	ACTN4	940
ACTN3	ACTN4	940
BCAR1	ACTN4	901
CAPN1	ACTN4	900
CTNNA1	ACTN4	870
CTNNA2	ACTN4	870
CTNNA3	ACTN4	870
EZR	ACTN4	900
ITGA1	ACTN4	919
ITGB1	ACTN4	922
KIRREL1	ACTN4	908
LMO7	ACTN4	830
NOLC1	ACTN4	900
NPHS1	ACTN4	902
PDLIM2	ACTN4	811
PTK2	ACTN4	901
PXN	ACTN4	905
RAB5A	ACTN4	905
SPTAN1	ACTN4	909
SSX2IP	ACTN4	804
TLN1	ACTN4	900
USP6NL	ACTN4	900
ZYX	ACTN4	927
ACTR1A	ACTR10	945
ANK1	ACTR10	908
ANK2	ACTR10	908
ANK3	ACTR10	908
ARCN1	ACTR10	904
BICD1	ACTR10	902
BICD2	ACTR10	901
CAPZA1	ACTR10	915
CAPZA2	ACTR10	915
CAPZA3	ACTR10	915
CAPZB	ACTR10	957
CD55	ACTR10	900
CD59	ACTR10	900
CENPE	ACTR10	904
COPA	ACTR10	904
COPB2	ACTR10	902
COPE	ACTR10	902
COPG1	ACTR10	902
COPG2	ACTR10	902
COPZ1	ACTR10	902
COPZ2	ACTR10	902
DCTN1	ACTR10	943
DCTN2	ACTR10	947
DCTN3	ACTR10	955
DCTN4	ACTR10	950
DCTN5	ACTR10	955
DYNC1H1	ACTR10	937
DYNC1I1	ACTR10	930
DYNC1I2	ACTR10	930
DYNC1LI1	ACTR10	912
DYNC1LI2	ACTR10	912
DYNLL1	ACTR10	901
DYNLL2	ACTR10	902
FOLR1	ACTR10	919
GALNT1	ACTR10	902
GALNT2	ACTR10	901
INS	ACTR10	900
KDELR1	ACTR10	902
KDELR2	ACTR10	902
KDELR3	ACTR10	901
KIF11	ACTR10	905
KIF15	ACTR10	902
KIF18A	ACTR10	904
KIF20A	ACTR10	902
KIF23	ACTR10	902
KIF26A	ACTR10	902
KIF2A	ACTR10	909
KIF2B	ACTR10	903
KIF2C	ACTR10	904
KIF3A	ACTR10	902
KIF3B	ACTR10	902
KIF3C	ACTR10	902
KIF4A	ACTR10	904
KIF4B	ACTR10	904
KIF5A	ACTR10	907
KIF5B	ACTR10	907
KIFAP3	ACTR10	902
KLC1	ACTR10	912
KLC2	ACTR10	902
KLC3	ACTR10	902
KLC4	ACTR10	912
PAFAH1B1	ACTR10	909
RAB1A	ACTR10	902
RAB1B	ACTR10	902
RAB6A	ACTR10	902
RAB6B	ACTR10	902
RACGAP1	ACTR10	901
SPTAN1	ACTR10	900
SPTBN1	ACTR10	915
SPTBN2	ACTR10	915
SPTBN5	ACTR10	915
TMED10	ACTR10	900
TMED2	ACTR10	902
TMED3	ACTR10	900
TMED7	ACTR10	901
TMED9	ACTR10	900
USO1	ACTR10	900
ALMS1	ACTR1A	900
BORA	ACTR1A	900
CAPZB	ACTR1A	947
CC2D2A	ACTR1A	900
CCP110	ACTR1A	900
CD59	ACTR1A	900
CDK1	ACTR1A	904
CDK11A	ACTR1A	900
CDK11B	ACTR1A	900
CENPJ	ACTR1A	900
CEP131	ACTR1A	900
CEP152	ACTR1A	900
CEP162	ACTR1A	900
CEP192	ACTR1A	900
CEP250	ACTR1A	908
CEP290	ACTR1A	900
CEP78	ACTR1A	902
CEP83	ACTR1A	900
CETN2	ACTR1A	915
CKAP5	ACTR1A	903
CNTRL	ACTR1A	908
COPG2	ACTR1A	904
COPZ1	ACTR1A	902
COPZ2	ACTR1A	902
CSNK1E	ACTR1A	905
DCTN2	ACTR1A	943
DCTN4	ACTR1A	935
DYNC1I2	ACTR1A	942
DYNLL1	ACTR1A	901
DYNLL2	ACTR1A	901
FOLR1	ACTR1A	900
HAUS5	ACTR1A	900
HAUS6	ACTR1A	900
HAUS7	ACTR1A	900
HMMR	ACTR1A	900
INS	ACTR1A	901
KDELR3	ACTR1A	901
KIF20A	ACTR1A	905
KIF26A	ACTR1A	902
KIF2A	ACTR1A	903
KIF2C	ACTR1A	903
KIF3A	ACTR1A	902
KIF3B	ACTR1A	902
KIF4A	ACTR1A	904
KIF4B	ACTR1A	904
KIF5A	ACTR1A	907
KLC1	ACTR1A	902
KLC2	ACTR1A	904
KLC3	ACTR1A	902
MAPRE1	ACTR1A	913
MKS1	ACTR1A	900
MZT1	ACTR1A	900
NDE1	ACTR1A	914
NEDD1	ACTR1A	900
NPHP4	ACTR1A	900
NUMA1	ACTR1A	900
ODF2	ACTR1A	900
PAFAH1B1	ACTR1A	923
RAB1A	ACTR1A	902
RAB3IP	ACTR1A	903
RACGAP1	ACTR1A	902
SFI1	ACTR1A	900
SPTAN1	ACTR1A	900
SPTBN2	ACTR1A	915
TCTN1	ACTR1A	900
TCTN3	ACTR1A	900
TMED7	ACTR1A	902
TMEM216	ACTR1A	900
TMEM67	ACTR1A	902
TUBGCP2	ACTR1A	908
TUBGCP5	ACTR1A	900
USO1	ACTR1A	900
DCTN2	ACTR1B	925
AAK1	ACTR2	916
ACTG1	ACTR2	934
AGFG1	ACTR2	904
AGTR1	ACTR2	900
AP2B1	ACTR2	902
ARPC1B	ACTR2	965
ARPC4	ACTR2	964
ARRB1	ACTR2	902
ARRB2	ACTR2	902
AVP	ACTR2	900
BRK1	ACTR2	949
CD3G	ACTR2	900
CDC42	ACTR2	937
CHRM2	ACTR2	900
CLTC	ACTR2	929
CLTCL1	ACTR2	929
CYFIP1	ACTR2	947
DNM2	ACTR2	924
EPN1	ACTR2	932
EPS15L1	ACTR2	939
FNBP1	ACTR2	939
FZD4	ACTR2	900
GAPVD1	ACTR2	908
HSPA8	ACTR2	901
ITSN1	ACTR2	910
KIAA0319	ACTR2	900
LDLR	ACTR2	900
MYO10	ACTR2	915
MYO5A	ACTR2	933
MYO9B	ACTR2	923
NCK1	ACTR2	914
NECAP2	ACTR2	902
PACSIN1	ACTR2	902
PACSIN3	ACTR2	905
PICALM	ACTR2	929
RAB5C	ACTR2	902
REPS1	ACTR2	900
SH3GL2	ACTR2	902
SH3KBP1	ACTR2	903
SNAP91	ACTR2	929
SNX9	ACTR2	902
STON1	ACTR2	900
STON2	ACTR2	900
SYNJ1	ACTR2	909
SYT8	ACTR2	901
TF	ACTR2	901
TGOLN2	ACTR2	905
UBA52	ACTR2	901
UBC	ACTR2	905
WASF1	ACTR2	933
WASF2	ACTR2	933
WIPF1	ACTR2	940
AAK1	ACTR3	904
ABI1	ACTR3	919
ABI2	ACTR3	919
ACTG1	ACTR3	927
ACTR2	ACTR3	943
ADRB2	ACTR3	900
AGFG1	ACTR3	904
AGTR1	ACTR3	900
AMPH	ACTR3	913
AP2A1	ACTR3	900
AP2A2	ACTR3	900
AP2B1	ACTR3	902
AP2M1	ACTR3	902
AP2S1	ACTR3	905
ARPC1B	ACTR3	942
ARPC2	ACTR3	968
ARPC4	ACTR3	942
ARPC5	ACTR3	942
ARRB1	ACTR3	900
ARRB2	ACTR3	900
AVP	ACTR3	900
BAIAP2	ACTR3	900
BIN1	ACTR3	914
BRK1	ACTR3	937
CBL	ACTR3	900
CD3D	ACTR3	900
CD3G	ACTR3	900
CDC42	ACTR3	939
CHRM2	ACTR3	900
CLTB	ACTR3	905
CLTC	ACTR3	904
CLTCL1	ACTR3	904
CTTN	ACTR3	928
CYFIP1	ACTR3	928
DAB2	ACTR3	900
DNAJC6	ACTR3	902
DNM1	ACTR3	914
DNM2	ACTR3	914
DNM3	ACTR3	914
EGF	ACTR3	902
EGFR	ACTR3	905
EPN1	ACTR3	902
EPN2	ACTR3	902
EPS15	ACTR3	913
EPS15L1	ACTR3	913
FNBP1	ACTR3	918
FNBP1L	ACTR3	918
FZD4	ACTR3	900
GAK	ACTR3	907
GAPVD1	ACTR3	908
HGS	ACTR3	902
HIP1	ACTR3	914
HSPA8	ACTR3	902
IGF2R	ACTR3	900
IL7R	ACTR3	901
ITSN1	ACTR3	916
ITSN2	ACTR3	916
KIAA0319	ACTR3	900
LDLR	ACTR3	900
LDLRAP1	ACTR3	900
MYO10	ACTR3	915
MYO5A	ACTR3	918
MYO9B	ACTR3	923
NCK1	ACTR3	918
NCKAP1	ACTR3	933
NCKAP1L	ACTR3	928
NCKIPSD	ACTR3	915
NECAP1	ACTR3	902
NECAP2	ACTR3	902
OCRL	ACTR3	904
PACSIN1	ACTR3	900
PACSIN2	ACTR3	900
PACSIN3	ACTR3	900
PICALM	ACTR3	902
PSMA7	ACTR3	900
RAB5A	ACTR3	905
RAB5B	ACTR3	905
RAB5C	ACTR3	905
RAC1	ACTR3	917
REPS1	ACTR3	900
REPS2	ACTR3	900
RPS27A	ACTR3	905
SCARB2	ACTR3	902
SGIP1	ACTR3	904
SH3GL1	ACTR3	900
SH3GL2	ACTR3	900
SH3GL3	ACTR3	900
SH3KBP1	ACTR3	912
SLC18A3	ACTR3	900
SLC2A8	ACTR3	908
SNAP91	ACTR3	902
SNX18	ACTR3	901
SNX9	ACTR3	901
STAM	ACTR3	901
STAM2	ACTR3	900
STON1	ACTR3	900
STON2	ACTR3	900
SYNJ1	ACTR3	911
SYNJ2	ACTR3	907
SYT11	ACTR3	900
SYT2	ACTR3	901
SYT8	ACTR3	900
SYT9	ACTR3	900
TACR1	ACTR3	900
TF	ACTR3	901
TFRC	ACTR3	902
TGOLN2	ACTR3	905
TRIP10	ACTR3	913
UBA52	ACTR3	901
UBB	ACTR3	905
UBC	ACTR3	905
VAMP2	ACTR3	903
VAMP8	ACTR3	903
WAS	ACTR3	942
WASF1	ACTR3	923
WASF2	ACTR3	923
WASF3	ACTR3	923
WIPF1	ACTR3	925
WIPF2	ACTR3	925
WNT5A	ACTR3	901
ACTL6A	ACTR5	938
ACTR8	ACTR5	951
ANP32E	ACTR5	900
BRD8	ACTR5	902
ING3	ACTR5	902
INO80C	ACTR5	953
INO80D	ACTR5	900
INO80E	ACTR5	908
KAT5	ACTR5	902
MCRS1	ACTR5	900
NFRKB	ACTR5	949
RUVBL1	ACTR5	965
RUVBL2	ACTR5	943
TFPT	ACTR5	900
TRRAP	ACTR5	900
UCHL5	ACTR5	900
YY1	ACTR5	912
ACTL6A	ACTR8	935
ANP32E	ACTR8	902
INO80C	ACTR8	931
INO80D	ACTR8	900
INO80E	ACTR8	909
KAT5	ACTR8	909
MCRS1	ACTR8	900
NFRKB	ACTR8	900
RUVBL2	ACTR8	930
TFPT	ACTR8	900
TRRAP	ACTR8	908
UCHL5	ACTR8	909
ACVR1B	ACVR1	857
ACVR2B	ACVR1	851
BMP7	ACVR1	909
BMPR1A	ACVR1	857
BMPR1B	ACVR1	844
BMPR2	ACVR1	952
FKBP1A	ACVR1	912
ACVR1	ACVR1C	921
ACVR1B	ACVR1C	838
ACVR2B	ACVR1C	965
CFC1	ACVR1C	904
INHBB	ACVR1C	926
LEFTY1	ACVR1C	909
LEFTY2	ACVR1C	909
NODAL	ACVR1C	909
TDGF1	ACVR1C	904
ACVR1	ACVR2A	925
ACVR1B	ACVR2A	965
ACVR1C	ACVR2A	967
ACVR2B	ACVR2A	900
ACVRL1	ACVR2A	916
BMP2	ACVR2A	959
BMPR1A	ACVR2A	972
BMPR1B	ACVR2A	972
CFC1	ACVR2A	911
ENG	ACVR2A	905
FKBP1A	ACVR2A	905
GDF2	ACVR2A	909
INHBA	ACVR2A	959
INHBB	ACVR2A	927
LEFTY1	ACVR2A	909
LEFTY2	ACVR2A	909
NODAL	ACVR2A	909
SMAD1	ACVR2A	930
SMAD5	ACVR2A	930
SMAD6	ACVR2A	915
SMAD7	ACVR2A	915
SMAD9	ACVR2A	930
SMURF1	ACVR2A	905
SMURF2	ACVR2A	905
TDGF1	ACVR2A	907
ZFYVE16	ACVR2A	903
ACVR1B	ACVR2B	962
ACVRL1	ACVR2B	916
BMP2	ACVR2B	953
BMPR1A	ACVR2B	962
BMPR1B	ACVR2B	958
ENG	ACVR2B	905
FKBP1A	ACVR2B	905
GDF2	ACVR2B	909
LEFTY2	ACVR2B	909
SMAD1	ACVR2B	930
SMAD5	ACVR2B	930
SMAD9	ACVR2B	930
SMURF1	ACVR2B	905
FKBP1A	ACVRL1	905
GDF2	ACVRL1	930
ACYP2	ACYP1	808
ADA2	ADA	836
ADAM17	ADAM10	863
EFNA1	ADAM10	900
EFNA3	ADAM10	900
EFNA4	ADAM10	900
EFNA5	ADAM10	900
EPHA1	ADAM10	902
EPHA10	ADAM10	902
EPHA2	ADAM10	902
EPHA3	ADAM10	907
EPHA4	ADAM10	905
EPHA5	ADAM10	905
EPHA6	ADAM10	902
EPHA7	ADAM10	905
FAM20C	ADAM10	900
LGI1	ADAM11	903
LGI4	ADAM11	905
ITGB1	ADAM12	900
SDC4	ADAM12	900
ITGB1	ADAM15	900
SH3PXD2A	ADAM19	900
ADAM21	ADAM2	904
ADAM30	ADAM2	915
B4GALT1	ADAM2	901
ITGB1	ADAM2	902
OVGP1	ADAM2	911
ZP1	ADAM2	903
ZP2	ADAM2	927
ZP3	ADAM2	905
ZP4	ADAM2	902
ADAM2	ADAM20	904
ADAM21	ADAM20	900
ADAM30	ADAM20	900
B4GALT1	ADAM20	900
OVGP1	ADAM20	900
ZP1	ADAM20	900
ZP2	ADAM20	901
ZP3	ADAM20	904
ZP4	ADAM20	900
ZP4	ADAM21	900
CACNG2	ADAM22	902
CACNG8	ADAM22	900
DLG4	ADAM22	914
LGI1	ADAM22	913
LGI2	ADAM22	939
LGI3	ADAM22	912
LGI4	ADAM22	910
ADAM22	ADAM23	903
CACNG2	ADAM23	906
CACNG8	ADAM23	902
DLG4	ADAM23	909
LGI1	ADAM23	905
LGI2	ADAM23	934
LGI3	ADAM23	904
LGI4	ADAM23	902
ITGA4	ADAM28	900
ITGB1	ADAM28	902
ADAM21	ADAM30	900
B4GALT1	ADAM30	900
OVGP1	ADAM30	900
ZP2	ADAM30	901
ZP3	ADAM30	900
ZP4	ADAM30	900
RBMX	ADAR	904
UPF1	ADAR	905
ADAT3	ADAT2	933
GNAI1	ADCY1	914
GNAI2	ADCY1	914
GNAI3	ADCY1	914
GNAL	ADCY1	919
GNAS	ADCY1	919
GNAT3	ADCY1	914
GNAZ	ADCY1	914
GNAI1	ADCY2	914
GNAI3	ADCY2	914
GNAS	ADCY2	930
GNAT3	ADCY2	914
GNAZ	ADCY2	914
ADCY1	ADCY3	818
ADCY6	ADCY3	804
ADCY8	ADCY3	800
ADCY9	ADCY3	833
GNAI1	ADCY3	914
GNAI2	ADCY3	914
GNAI3	ADCY3	914
GNAL	ADCY3	919
GNAS	ADCY3	919
GNAT3	ADCY3	914
GNAZ	ADCY3	916
PDE7B	ADCY3	827
GNAI1	ADCY4	914
GNAI2	ADCY4	914
GNAI3	ADCY4	914
GNAL	ADCY4	930
GNAS	ADCY4	930
GNAT3	ADCY4	914
GNAZ	ADCY4	914
GNAZ	ADCY5	914
GNB1	ADCY5	911
GNGT2	ADCY5	910
ADCY4	ADCY6	833
ADCY5	ADCY6	803
GNAI1	ADCY6	914
GNAI2	ADCY6	914
GNAI3	ADCY6	914
GNAL	ADCY6	919
GNAS	ADCY6	919
GNAT3	ADCY6	914
GNAZ	ADCY6	930
GNB1	ADCY6	916
GNG10	ADCY6	902
GNG12	ADCY6	916
GNG2	ADCY6	900
GNG4	ADCY6	902
GNG5	ADCY6	900
GNG7	ADCY6	904
GNGT2	ADCY6	905
GNAT3	ADCY7	914
GNAZ	ADCY7	914
ADCY1	ADCY8	812
ADCY4	ADCY8	833
ADCY6	ADCY8	811
GNAI1	ADCY8	914
GNAI2	ADCY8	914
GNAI3	ADCY8	914
GNAL	ADCY8	919
GNAS	ADCY8	919
GNAT3	ADCY8	914
GNAZ	ADCY8	923
ADCY6	ADCY9	833
GNAI1	ADCY9	914
GNAI2	ADCY9	914
GNAI3	ADCY9	914
GNAL	ADCY9	943
GNAS	ADCY9	943
GNAT3	ADCY9	914
GNAZ	ADCY9	914
ADCYAP1R1	ADCYAP1	955
GNB1	ADCYAP1	902
ADD3	ADD1	906
DMTN	ADD1	902
ADD1	ADD2	905
DMTN	ADD2	902
